lap_n,stint_n,compounds,pit_laps,team,rain,driver_name,grid_pos,pit_count,final
53.0,2.0,"['MEDIUM', 'HARD']","[1.0, 19.0]",Williams,0,ALB,13,2,13.0
53.0,3.0,"['HARD', 'MEDIUM']","[1.0, 37.0]",Alfa Romeo,0,BOT,11,2,14.0
53.0,3.0,"['MEDIUM', 'HARD']","[1.0, 10.0]",Haas F1 Team,0,MSC,17,2,15.0
48.0,3.0,"['MEDIUM', 'HARD']","[1.0, 10.0]",Alfa Romeo,0,ZHO,16,2,nan
41.0,3.0,"['MEDIUM', 'HARD', 'MEDIUM']","[1.0, 20.0, 39.0]",Williams,0,LAT,18,3,16.0
38.0,3.0,"['MEDIUM', 'HARD']","[1.0, 9.0]",Haas F1 Team,0,MAG,20,2,14.0
18.0,1.0,['MEDIUM'],[1.0],Ferrari,0,LEC,1,1,nan
18.0,2.0,"['MEDIUM', 'HARD']","[1.0, 12.0]",AlphaTauri,0,TSU,8,2,18.0
70.0,3.0,"['SOFT', 'MEDIUM']","[1.0, 17.0]",Red Bull Racing,0,VER,10,2,1.0
70.0,3.0,"['MEDIUM', 'SOFT']","[1.0, 52.0]",Mercedes,0,HAM,7,2,2.0
70.0,3.0,"['SOFT', 'MEDIUM']","[1.0, 17.0]",Mercedes,0,RUS,1,2,3.0
70.0,3.0,"['MEDIUM', 'SOFT']","[1.0, 48.0]",Ferrari,0,SAI,2,2,4.0
70.0,3.0,"['SOFT', 'MEDIUM']","[1.0, 19.0]",Red Bull Racing,0,PER,11,2,5.0
70.0,4.0,"['MEDIUM', 'HARD', 'SOFT']","[1.0, 40.0, 55.0]",Ferrari,0,LEC,3,3,6.0
70.0,3.0,"['SOFT', 'MEDIUM', 'HARD']","[1.0, 15.0, 43.0]",McLaren,0,NOR,4,3,7.0
69.0,2.0,"['MEDIUM', 'HARD']","[1.0, 22.0]",Alpine,0,ALO,6,2,8.0
69.0,2.0,"['MEDIUM', 'HARD']","[1.0, 24.0]",Alpine,0,OCO,5,2,9.0
69.0,3.0,"['SOFT', 'MEDIUM']","[1.0, 16.0]",Aston Martin,0,VET,18,2,10.0
69.0,3.0,"['SOFT', 'MEDIUM', 'SOFT']","[1.0, 15.0, 47.0]",Aston Martin,0,STR,14,3,11.0
69.0,3.0,"['SOFT', 'MEDIUM', 'SOFT']","[1.0, 17.0, 47.0]",AlphaTauri,0,GAS,0,3,12.0
69.0,3.0,"['MEDIUM', 'HARD', 'SOFT']","[1.0, 28.0, 52.0]",Alfa Romeo,0,ZHO,12,3,14.0
69.0,3.0,"['MEDIUM', 'HARD', 'MEDIUM']","[1.0, 22.0, 42.0]",Haas F1 Team,0,MSC,15,3,15.0
69.0,3.0,"['SOFT', 'MEDIUM', 'HARD']","[1.0, 16.0, 47.0]",McLaren,0,RIC,9,3,13.0
69.0,4.0,"['MEDIUM', 'HARD', 'MEDIUM', 'SOFT']","[1.0, 7.0, 36.0, 68.0]",Haas F1 Team,0,MAG,13,4,16.0
69.0,4.0,"['SOFT', 'MEDIUM', 'SOFT']","[1.0, 3.0, 41.0]",Williams,0,ALB,17,3,17.0
