lap_n,stint_n,compounds,pit_laps,team,rain,driver_name,grid_pos
53.0,3.0,"['MEDIUM', 'HARD', 'INTERMEDIATE']","[1.0, 27.0, 50.0]",Mercedes,0,HAM,4
53.0,3.0,"['HARD', 'MEDIUM', 'INTERMEDIATE']","[1.0, 27.0, 49.0]",Red Bull Racing,0,VER,20
53.0,3.0,"['MEDIUM', 'HARD', 'INTERMEDIATE']","[1.0, 15.0, 49.0]",Ferrari,0,SAI,2
53.0,3.0,"['MEDIUM', 'HARD', 'INTERMEDIATE']","[1.0, 23.0, 49.0]",McLaren,0,RIC,5
53.0,3.0,"['HARD', 'MEDIUM', 'INTERMEDIATE']","[1.0, 29.0, 48.0]",Mercedes,0,BOT,16
53.0,3.0,"['HARD', 'MEDIUM', 'INTERMEDIATE']","[1.0, 37.0, 51.0]",Alpine,0,ALO,6
53.0,3.0,"['MEDIUM', 'HARD', 'INTERMEDIATE']","[1.0, 29.0, 52.0]",McLaren,0,NOR,1
53.0,3.0,"['MEDIUM', 'HARD', 'INTERMEDIATE']","[1.0, 16.0, 48.0]",Alfa Romeo Racing,0,RAI,13
53.0,3.0,"['HARD', 'MEDIUM', 'INTERMEDIATE']","[1.0, 37.0, 51.0]",Red Bull Racing,0,PER,8
53.0,3.0,"['MEDIUM', 'HARD', 'INTERMEDIATE']","[1.0, 14.0, 48.0]",Williams,0,RUS,3
53.0,3.0,"['MEDIUM', 'HARD', 'INTERMEDIATE']","[1.0, 13.0, 49.0]",Aston Martin,0,STR,7
52.0,3.0,"['MEDIUM', 'HARD', 'INTERMEDIATE']","[1.0, 27.0, 51.0]",Aston Martin,0,VET,10
52.0,3.0,"['HARD', 'MEDIUM', 'INTERMEDIATE']","[1.0, 34.0, 51.0]",AlphaTauri,0,GAS,11
52.0,3.0,"['MEDIUM', 'HARD', 'INTERMEDIATE']","[1.0, 16.0, 51.0]",Alpine,0,OCO,9
52.0,3.0,"['HARD', 'MEDIUM', 'INTERMEDIATE']","[1.0, 36.0, 52.0]",Ferrari,0,LEC,19
52.0,3.0,"['HARD', 'MEDIUM', 'INTERMEDIATE']","[1.0, 37.0, 51.0]",Alfa Romeo Racing,0,GIO,17
52.0,4.0,"['MEDIUM', 'HARD', 'SOFT', 'INTERMEDIATE']","[1.0, 14.0, 48.0, 50.0]",AlphaTauri,0,TSU,12
51.0,3.0,"['MEDIUM', 'HARD', 'INTERMEDIATE']","[1.0, 15.0, 47.0]",Haas F1 Team,0,MAZ,15
47.0,2.0,"['MEDIUM', 'HARD']","[1.0, 14.0]",Williams,0,LAT,18
32.0,2.0,"['MEDIUM', 'HARD']","[1.0, 21.0]",Haas F1 Team,0,MSC,14
58.0,2.0,['INTERMEDIATE'],[1.0],Mercedes,0,BOT,1
58.0,2.0,['INTERMEDIATE'],[1.0],Red Bull Racing,0,VER,2
58.0,2.0,['INTERMEDIATE'],[1.0],Red Bull Racing,0,PER,6
58.0,2.0,['INTERMEDIATE'],[1.0],Ferrari,0,LEC,3
58.0,2.0,['INTERMEDIATE'],[1.0],Mercedes,0,HAM,11
58.0,2.0,['INTERMEDIATE'],[1.0],AlphaTauri,0,GAS,4
58.0,2.0,['INTERMEDIATE'],[1.0],McLaren,0,NOR,7
58.0,2.0,['INTERMEDIATE'],[1.0],Ferrari,0,SAI,19
58.0,2.0,['INTERMEDIATE'],[1.0],Aston Martin,0,STR,8
57.0,1.0,['INTERMEDIATE'],[1.0],Alpine,0,OCO,12
57.0,2.0,['INTERMEDIATE'],[1.0],Alfa Romeo Racing,0,GIO,16
57.0,2.0,['INTERMEDIATE'],[1.0],Alfa Romeo Racing,0,RAI,17
57.0,2.0,['INTERMEDIATE'],[1.0],McLaren,0,RIC,20
57.0,2.0,['INTERMEDIATE'],[1.0],AlphaTauri,0,TSU,9
57.0,2.0,['INTERMEDIATE'],[1.0],Williams,0,RUS,13
57.0,2.0,['INTERMEDIATE'],[1.0],Alpine,0,ALO,5
57.0,2.0,['INTERMEDIATE'],[1.0],Williams,0,LAT,15
57.0,3.0,"['INTERMEDIATE', 'MEDIUM', 'INTERMEDIATE']","[1.0, 37.0, 38.0]",Aston Martin,0,VET,10
56.0,2.0,['INTERMEDIATE'],[1.0],Haas F1 Team,0,MSC,14
56.0,2.0,['INTERMEDIATE'],[1.0],Haas F1 Team,0,MAZ,18
56.0,3.0,"['MEDIUM', 'HARD']","[1.0, 11.0]",Red Bull Racing,0,VER,1
56.0,3.0,"['MEDIUM', 'HARD']","[1.0, 14.0]",Mercedes,0,HAM,2
56.0,3.0,"['MEDIUM', 'HARD']","[1.0, 31.0]",Red Bull Racing,0,PER,3
56.0,3.0,"['MEDIUM', 'HARD']","[1.0, 13.0]",Ferrari,0,LEC,4
56.0,3.0,"['MEDIUM', 'HARD']","[1.0, 12.0]",McLaren,0,RIC,6
56.0,3.0,"['MEDIUM', 'HARD']","[1.0, 16.0]",Mercedes,0,BOT,9
56.0,3.0,"['SOFT', 'HARD']","[1.0, 12.0]",Ferrari,0,SAI,5
56.0,3.0,"['MEDIUM', 'HARD']","[1.0, 11.0]",McLaren,0,NOR,7
55.0,3.0,"['SOFT', 'HARD']","[1.0, 10.0]",AlphaTauri,0,TSU,10
55.0,3.0,"['MEDIUM', 'HARD']","[1.0, 39.0]",Aston Martin,0,VET,18
55.0,3.0,"['MEDIUM', 'HARD']","[1.0, 27.0]",Alfa Romeo Racing,0,GIO,12
55.0,3.0,"['MEDIUM', 'HARD']","[1.0, 35.0]",Aston Martin,0,STR,13
55.0,3.0,"['MEDIUM', 'HARD']","[1.0, 32.0]",Alfa Romeo Racing,0,RAI,15
55.0,3.0,"['MEDIUM', 'HARD']","[1.0, 10.0]",Williams,0,RUS,20
55.0,3.0,"['MEDIUM', 'HARD']","[1.0, 6.0]",Williams,0,LAT,14
54.0,3.0,"['MEDIUM', 'HARD', 'MEDIUM']","[1.0, 12.0, 35.0]",Haas F1 Team,0,MSC,16
54.0,4.0,"['MEDIUM', 'HARD', 'MEDIUM']","[1.0, 2.0, 25.0]",Haas F1 Team,0,MAZ,17
49.0,4.0,"['MEDIUM', 'HARD', 'MEDIUM']","[1.0, 8.0, 40.0]",Alpine,0,ALO,19
40.0,3.0,"['MEDIUM', 'HARD', 'MEDIUM']","[1.0, 4.0, 26.0]",Alpine,0,OCO,11
14.0,2.0,"['MEDIUM', 'HARD']","[1.0, 11.0]",AlphaTauri,0,GAS,8
